"filename", "language", "XMake", "comment", "blank", "total"
"/home/yaojie/workspace/code/LearnCPP/c_test/xmake.lua", "XMake", 6, 0, 0, 6
"/home/yaojie/workspace/code/LearnCPP/xmake.lua", "XMake", 39, 0, 5, 44
"Total", "-", 45, 0, 5, 50
