"filename", "language", "XMake", "comment", "blank", "total"
"/home/yaojie/workspace/code/LearnCPP/c_test/xmake.lua", "XMake", 5, 0, 0, 5
"/home/yaojie/workspace/code/LearnCPP/concurrency/xmake.lua", "XMake", 6, 0, 1, 7
"/home/yaojie/workspace/code/LearnCPP/graph/xmake.lua", "XMake", 6, 0, 2, 8
"/home/yaojie/workspace/code/LearnCPP/sort/xmake.lua", "XMake", 6, 0, 3, 9
"/home/yaojie/workspace/code/LearnCPP/string/xmake.lua", "XMake", 0, 0, 1, 1
"/home/yaojie/workspace/code/LearnCPP/test/xmake.lua", "XMake", 6, 0, 2, 8
"/home/yaojie/workspace/code/LearnCPP/tree/xmake.lua", "XMake", 5, 0, 1, 6
"/home/yaojie/workspace/code/LearnCPP/xmake.lua", "XMake", 11, 0, 4, 15
"Total", "-", 45, 0, 14, 59
