"filename", "language", "XMake", "comment", "blank", "total"
"/home/yaojie/workspace/code/LearnCPP/CPP2高级编程/xmake.lua", "XMake", 6, 0, 1, 7
"/home/yaojie/workspace/code/LearnCPP/c_test/xmake.lua", "XMake", 6, 0, 0, 6
"/home/yaojie/workspace/code/LearnCPP/xmake.lua", "XMake", 28, 8, 5, 41
"Total", "-", 40, 8, 6, 54
